food_id,batch_id,source,source_food_id,name,category,source_url
FC001236,batch-1,USDA,171880,"Beverages, coffee, ready to drink, milk based, sweetened",Beverages,https://fdc.nal.usda.gov/food-details/171880/nutrients
FC001237,batch-1,USDA,173647,"Beverages, water, tap, drinking",Beverages,https://fdc.nal.usda.gov/food-details/173647/nutrients
FC001238,batch-1,USDA,174158,"Water, bottled, generic",Beverages,https://fdc.nal.usda.gov/food-details/174158/nutrients
FC001239,batch-1,USDA,174832,"Beverages, almond milk, unsweetened, shelf stable",Beverages,https://fdc.nal.usda.gov/food-details/174832/nutrients
FC001240,batch-1,USDA,168751,"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink",Beverages,https://fdc.nal.usda.gov/food-details/168751/nutrients
FC001241,batch-1,USDA,174116,"Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2",Beverages,https://fdc.nal.usda.gov/food-details/174116/nutrients
FC001242,batch-1,USDA,174831,"Beverages, Coconut water, ready-to-drink, unsweetened",Beverages,https://fdc.nal.usda.gov/food-details/174831/nutrients
FC001243,batch-1,USDA,171269,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",Milk & Dairy,https://fdc.nal.usda.gov/food-details/171269/nutrients
FC001244,batch-1,USDA,171267,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",Milk & Dairy,https://fdc.nal.usda.gov/food-details/171267/nutrients
FC001245,batch-1,USDA,170872,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",Milk & Dairy,https://fdc.nal.usda.gov/food-details/170872/nutrients
FC001246,batch-1,USDA,170894,"Yogurt, Greek, plain, nonfat (Includes foods for USDA's Food Distribution Program)",Milk & Dairy,https://fdc.nal.usda.gov/food-details/170894/nutrients
FC001247,batch-1,USDA,170903,"Yogurt, Greek, plain, lowfat",Milk & Dairy,https://fdc.nal.usda.gov/food-details/170903/nutrients
FC001248,batch-2,USDA,171304,"Yogurt, Greek, plain, whole milk",Milk & Dairy,https://fdc.nal.usda.gov/food-details/171304/nutrients
FC001249,batch-2,USDA,171284,"Yogurt, plain, whole milk",Milk & Dairy,https://fdc.nal.usda.gov/food-details/171284/nutrients
FC001250,batch-2,USDA,171869,"Beverages, carbonated, tonic water",Beverages,https://fdc.nal.usda.gov/food-details/171869/nutrients
FC001251,batch-2,USDA,174842,"Beverages, carbonated, club soda",Beverages,https://fdc.nal.usda.gov/food-details/174842/nutrients
FC001252,batch-2,USDA,174846,"Beverages, carbonated, ginger ale",Beverages,https://fdc.nal.usda.gov/food-details/174846/nutrients
FC001253,batch-2,USDA,175099,"Beverages, carbonated, low calorie, cola or pepper-type, with aspartame, contains caffeine",Beverages,https://fdc.nal.usda.gov/food-details/175099/nutrients
FC001254,batch-2,USDA,174850,"Beverages, carbonated, low calorie, cola or pepper-type, with aspartame, without caffeine",Beverages,https://fdc.nal.usda.gov/food-details/174850/nutrients
FC001255,batch-2,USDA,174851,"Beverages, carbonated, cola, without caffeine",Beverages,https://fdc.nal.usda.gov/food-details/174851/nutrients
FC001256,batch-2,USDA,174853,"Beverages, carbonated, reduced sugar, cola, contains caffeine and sweeteners",Beverages,https://fdc.nal.usda.gov/food-details/174853/nutrients
FC001257,batch-2,USDA,174120,"Beverages, tea, Oolong, brewed",Beverages,https://fdc.nal.usda.gov/food-details/174120/nutrients
FC001258,batch-2,USDA,174156,"Beverages, tea, herb, brewed, chamomile",Beverages,https://fdc.nal.usda.gov/food-details/174156/nutrients
FC001259,batch-2,USDA,174871,"Beverages, tea, black, brewed, prepared with tap water, decaffeinated",Beverages,https://fdc.nal.usda.gov/food-details/174871/nutrients
